id	deme	orig_elife_id	orig_tskit_id
0	1306	1	0
1	1859	2	1
2	1891	3	2
3	1891	4	3
4	1891	5	4
5	1897	6	5
6	1897	7	6
7	1896	8	7
8	1896	9	8
9	1897	10	9
10	1897	11	10
11	1896	12	11
12	1896	13	12
13	203	14	13
14	1892	15	14
15	1892	16	15
16	1892	17	16
17	1864	18	17
18	1469	19	18
19	1352	20	19
20	1866	21	20
21	1540	22	21
22	1892	23	22
23	1892	24	23
24	1891	25	24
25	1572	26	25
26	1902	27	26
27	1302	28	27
28	1882	29	28
29	1377	30	29
30	1873	31	30
31	1885	32	31
32	1866	33	32
33	1882	34	33
34	1874	35	34
35	1302	36	35
36	1893	37	36
37	1469	38	37
38	1862	39	38
39	1877	40	39
40	1894	41	40
41	1893	42	41
42	1893	43	42
43	1855	44	43
44	1897	45	44
45	1576	46	45
46	1893	47	46
47	1893	48	47
48	1493	49	48
49	1859	50	49
50	1864	51	50
51	1866	52	51
52	1902	53	52
53	1882	54	53
54	1890	55	54
55	1890	56	55
56	1877	57	56
57	1855	58	57
58	1864	59	58
59	1866	60	59
60	1866	61	60
61	1866	62	61
62	1927	64	63
