id	xcoord	ycoord	suitability
0	0.0	0.0	1.0
1	0.0	1.0	0.8
2	0.8660254037844386	0.5000000000000001	0.8
3	0.8660254037844387	-0.4999999999999998	0.8
4	1.2246467991473532e-16	-1.0	0.8
5	-0.8660254037844384	-0.5000000000000004	0.8
6	-0.8660254037844386	0.5000000000000001	0.8
7	0.0	2.0	0.6
8	0.8660254037844386	1.5	0.6535898384862245
9	1.7320508075688772	1.0000000000000002	0.6
10	1.7320508075688772	2.220446049250313e-16	0.6535898384862245
11	1.7320508075688774	-0.9999999999999996	0.6000000000000001
12	0.8660254037844388	-1.5	0.6535898384862245
13	2.4492935982947064e-16	-2.0	0.6
14	-0.8660254037844383	-1.5000000000000004	0.6535898384862244
15	-1.7320508075688767	-1.0000000000000009	0.6
16	-1.732050807568877	-4.440892098500626e-16	0.6535898384862247
17	-1.7320508075688772	1.0000000000000002	0.6
18	-0.8660254037844388	1.5	0.6535898384862245
19	0.0	3.0	0.4
20	0.8660254037844386	2.5	0.47084973778708183
21	1.7320508075688772	2.0000000000000004	0.47084973778708183
22	2.598076211353316	1.5000000000000004	0.3999999999999999
23	2.598076211353316	0.5000000000000004	0.47084973778708183
24	2.598076211353316	-0.4999999999999995	0.47084973778708195
25	2.598076211353316	-1.4999999999999996	0.40000000000000013
26	1.7320508075688776	-1.9999999999999996	0.47084973778708183
27	0.866025403784439	-2.5	0.47084973778708183
28	3.673940397442059e-16	-3.0	0.4
29	-0.8660254037844382	-2.5000000000000004	0.47084973778708183
30	-1.7320508075688763	-2.000000000000001	0.47084973778708183
31	-2.598076211353315	-1.500000000000001	0.40000000000000013
32	-2.5980762113533156	-0.5000000000000009	0.47084973778708195
33	-2.5980762113533156	0.4999999999999995	0.47084973778708195
34	-2.598076211353316	1.5000000000000004	0.3999999999999999
35	-1.7320508075688776	2.0000000000000004	0.4708497377870817
36	-0.8660254037844393	2.5	0.47084973778708183
