"","feeding.mode","gape.width","buccal.length"
"Acantharchus_pomotis","bite",0.114,-0.009
"Lepomis_gibbosus","pisc",-0.133,-0.009
"Lepomis_microlophus","non",-0.151,0.012
"Lepomis_punctatus","bite",-0.103,-0.019
"Lepomis_miniatus","pisc",-0.134,0.001
"Lepomis_auritus","non",-0.222,-0.039
"Lepomis_marginatus","non",-0.187,-0.075
"Lepomis_megalotis","bite",-0.073,-0.049
"Lepomis_humilis","pisc",0.024,-0.027
"Lepomis_macrochirus","non",-0.191,0.002
"Lepomis_gulosus","bite",0.131,0.122
"Lepomis_symmetricus","pisc",0.013,-0.025
"Lepomis_cyanellus","non",-0.002,-0.009
"Micropterus_coosae","non",0.045,-0.009
"Micropterus_notius","bite",0.097,-0.009
"Micropterus_treculi","pisc",0.056,0.001
"Micropterus_salmoides","non",0.056,-0.059
"Micropterus_floridanus","bite",0.096,0.051
"Micropterus_punctulatus","pisc",0.092,0.002
"Micropterus_dolomieu","non",0.035,-0.069
"Centrarchus_macropterus","non",-0.007,-0.055
"Enneacantus_obesus","bite",0.016,-0.005
"Pomoxis_annularis","pisc",-0.004,-0.019
"Pomoxis_nigromaculatus","non",0.105,0.041
"Archolites_interruptus","bite",-0.024,0.051
"Ambloplites_ariommus","pisc",0.135,0.123
"Ambloplites_rupestris","non",0.086,0.041
"Ambloplites_cavifrons","non",0.13,0.04
